response,Food general,Character general,Knowledge of area,Location,Food specific,Character specific,Disrupt knowledge,Situation ,random,Discard
They came out of their hiuse and went to the pizza stand. It is the shortest route.,,,,,,,,,,
They went the shortest route as they preferred pizza.,1,,,,,,,,,
They went straight to the hot dog stand as they know the area well and like them.,1,,1,,,,,,,
They went to the hot dog stand as it was closest to them.,,,,1,,,,,,
They went for a run to the hot dog stand,,,,,,,,,,
They went straight to the hot dog stand,,,,,,,,,,
they walked round the block to the pizza stand and couldnt find hot dog stand,,,,,,,1,,,
struggled to find the hot dog stand,,,,,,,1,,,
likes hotdogs went the fastest way,1,,,,,,,,,
didnt fancy hotdogs today,,,,,1,,,,,
charlie is retarded,,,,,,,,,1,
also not very bright,,,,,,,,,1,
wanted to do some exercise,,,,,,1,,,,
was hungry,,,,,1,,,,,
wanted a hotdog,,,,,1,,,,,
wanted to do some exercise,,,,,,1,,,,
He doesn't like hot dogs and he could see the hot dogs but smell the pizza so decided to walk in the direction of the smell in the hope he'd find pizza,1,,,1,,,,,,
"He thought he'd see what's available at the hot dog stand but when he got there it wasn't available or there wasn't what he wanted, so he went to the pizza place instead",,,,1,1,,,,,
He wanted the longer walk to get to the hot dogs and he enjoys walking,,,,,,1,,,,
He went to the nearest possible food truck and he could see it,,,,1,,,,,,
The hot dog stand was closed and then he got confused about which way to go,,,,1,,,,1,,
He doesn't know the area well so didn't see the hot dog stand and went the long way around. The pizza place told him about the hot dogs and he decided to go there.,,,1,1,,,,,,
He's lazy so just wants the nearest possible food truck.,,1,,1,,,,,,
Their favourite food is hot dogs so they thought it was worth going further to get them.,1,,,,,,,,,
This is their favourite food and they are lazy - they could see the hot dog stand from where they were stood.,1,1,,1,,,,,,
He decided to choose to look further than the pizza stand that was closest to him,,,,1,,,,,,
He doesn't like hot dogs so decided to walk further to see if there was another stand with food on it that he likes,1,,,1,,,,,,
Maybe they had run out of hot dogs if he'd gone all the way past the hot dog stand and come back towards the pizza.,,,,,,,,1,,
He looked at the pizza stand but decided to go past it and go for a hot dog instead.,,,,,,,,,,
He knew the pizza truck wasn't far away so decided to walk to that instead of the hot dog one.,,,1,,,,,,,
I'm not sure why they would not go straight to the hot dog stand and walk the long way round.  Maybe they wanted to see what else was about.,,,,1,,,,,,
She chose the first truck she got to because she didn't know what else was about.,,,1,,,,,,,
Harper just followed the road and bought hot dogs from the first shop they saw,,,,1,,,,,,
Charlie wanted to stop by the pizza place to see if they liked anything. They did not and decided to go to the hot dog stand,1,,,1,,,,,,
Taylor usually takes the longer route to buy hot dogs but saw the pizza stall on the way today and decided to have some pizza,,,,1,,,,,,
Brooklyn decided to explore the area on foot and see what options there are. They then decided on pizza after almost coming full circle from their starting point,,,,1,,,1,,,
"Parker accidentally took a wrong turn but were too lazy to turn back, so they just kept walking until they came to the pizza stand and decided to just buy pizza instead",,1,,,,,,,,
Jesse decided to explore the neighborhood until they came to a hot dog stand that was sufficiently far from their starting point,,,,1,,,1,,,
Adrian just bought the first thing from the first food stand that they saw,,,,1,,,,,,
Drew was in a rush today so decided against taking the longer route,,,,,1,1,,,,
Brooklyn likes hot dogs.,1,,,,,,,,,
Pizza isn't his favourite food but he doesn't like hot dogs.,1,,,,,,,,,
Jesse wanted some exercise today.,,,,,,1,,,,
Drew likes hot dogs but wanted to get some exercise.,1,,,,,,,,,
Harper doesn't like pizza.,1,,,,,,,,,
Taylor wanted extra exercise today.,,,,,,1,,,,
Parker wanted hot dogs today.,,,,,1,,,,,
Pizza is his favourite food.,1,,,,,,,,,
He doesn't know the quicker route because he doesn't know the area well.,,,1,,,,,,,
the didn't know there was a quicker route.,,,1,,,,,,,
the knew the quickest route and took it because they are lazy,,1,,,,,,,,
the popcorn was closer so they chose it because they're lazy,,1,,1,,,,,,
their favourite food is hot dogs,1,,,,,,,,,
they could see food and didn't know there was other options because they dont know the area well,,,1,1,,,,,,
they took the longer route because they are sporty,,1,,,,,,,,
they took the longer route because they are sporty,,1,,,,,,,,
Harper is lazy so she takes the shorter route,,1,,,,,,,,
Parker enjoys taking a walk to the pizza stand,,,,,,,,,,
Taylor doesn't mind walking as he knows the area well and is sporty,,1,1,,,,,,,
"I think Jesse took the route because she doesn't know the area well, Jesse thought  that was the shortest route and it turned out to be the longer route",,,1,,,,,,,
"Since Charlie is lazy and is familiar with the area, he took the shotest possible route",,1,1,,,,,,,
Adrian didn't know which way to take as he was not familiar with route,,,1,,,,,,,
Drew is sporty and knows the area that's why she took the longer route,,1,1,,,,,,,
Brooklyn took the longer route as he wasn't familiar with the area,,,1,,,,,,,
"He wanted to explore a bit, but closer to his place of residence and saw the hot dog stand and decided to stop there.",,,,1,,,1,,,
Drew likes pizza more than hot dogs.,1,,,,,,,,,
Jesse is sporty and thus decides to walk more to explore the area.,,1,,,,,1,,,
"Charlie wanted a hot dog but was maybe too lazy to queue for it, so went to get pizza instead.",,1,,,1,,,,,
Brooklyn walks a long route because she is sporty and wants to explore more.,,1,,,,,1,,,
"Parker took a longer route to exercise a bit, as he knows he will be lazy to exercise otherwise.",,1,1,,,,,,,
"Taylor likes hot dogs, hence goes straight to the hot dog stand.",1,,,,,,,,,
"Harper wanted to explore a bit on the other side, saw the pizza and deicded to get it instead of going back to the hot dog stand.",,,,1,1,,1,,,
He knows the area well so knows where is everything,,,1,,,,,,,
It is the closest joint available,,,,1,,,,,,
He  likes hot dogs,1,,,,,,,,,
They wanted to admire the weather,,,,,,,,1,,
He doesn't know the area well enough.,,,1,,,,,,,
He is active so doesn't mind walking long,,1,,,,,,,,
He doesn't know the town well enough.,,,1,,,,,,,
They don't know the area well enough,,,1,,,,,,,
He knows the area well and loves hot dogs,,,1,,,,,,,
He is lazy so just goes to the first thing he sees,,1,,1,,,,,,
He is sporty so doesn't mind taking a longer path,,1,,,,,,,,
They're lazy so go to the first thing they see,,1,,1,,,,,,
His favourite food is hot dogs,1,,,,,,,,,
He doesn't want hot dogs,,,,,1,,,,,
They're sporty so don't mind having a long walk,,1,,,,,,,,
He's sporty so doesn't mind taking a longer walk,,1,,,,,,,,
They probably wanted to take the long way round and exercise since they are sporty.,,1,,,,,,,,
I think Charlie wanted to get some fresh air while out.,,,,,,1,,,,
The hot dog stand was out of hot dogs.,,,,,,,,1,,
Harper wanted to reach the hot dog stand quickly as he is lazy.,,1,,,,,,,,
He chose the nearest shop as he is lazy.,,1,,1,,,,,,
He was probably tired on the day and also loves hotdogs.,1,,,,,,,,,
Jesse wanted to get some exercise while on his way out to get food.,,,,,,1,,,,
He wanted to eat something different.,,,,,1,,,,,
He didn't fancy the hot dog.,,,,,1,,,,,
"Although he's self-proclaimed lazy, the hot dog is no closer; he prefers hot dogs.",1,1,,1,,,,,,
He didn't fancy a hot dog and wanted a walk.,,,,,1,,,,,
He didn't want pizza and wanted to go for a longer walk.,,,,,1,,,,,
"This is irrational, given stated laziness and knowledge of area. Perhaps the hot dogs did not seem good value when he moved closer.",,,1,1,,,,,,
"This, too, is irrational.  He was put off my the look of the pizzas.",,,,,,,,1,,
Parker's laziness outweighed his preference for hot dogs.,1,,,,,,,,,
He walked a longer walk to reach his prefered food option.,1,,,,,,,,,
They fancied a change,,,,,1,1,,,,
He did not have much time,,,,,,,,1,,
They thought there might be better other places round the corner.,,,,,,,,1,,
They felt like a change and a walk.,1,,,,,,,,,
They are sporty and wanted exercise.,,1,,,,,,,,
They wanted the exercise.,,,,,,1,,,,
Today they wanted a hotdog,,,,,1,,,,,
ITs the quickest route to the stand,,,,,,,,,,
he likes hot dogs more than pizza,1,,,,,,,,,
he likes hot dogs,1,,,,,,,,,
he didn't know there was a quicker route,,,1,,,,,,,
she wanted to exercise before she ate,,,,,,1,,,,
he was very hungry,,,,,1,,,,,
he is a bit stupid or has a mental disorder,,,,,,1,,,,
he couldn't see the hot dog stand,,,,1,,,,,,
the hot dogs were too expensive,,,,,,,,1,,
This was the shortest route to the hot dogs they like,1,,,,,,,,,
They do not know the area and so went the longest route without knowing it was.,,,1,,,,,,,
They like pizza but did not know the shortest route.,1,,1,,,,,,,
They came to the pizza stand first and changed their minds.,,,,1,1,,,,,
He wanted to run and likes hot dogs so combined these two factors,1,,,,,,,,,
He likes pizza and this was the shortest route,1,,,,,,,,,
Brooklyn wanted food and this was the first food he arrived at.,,,,,1,,,,,
They wanted a run but stopped at the pizza realising they had passed the hot dogs a while ago,,,,,1,,,,,
Taylor wants to have pizza for today,,,,,1,,,,,
Drew wants to have hot dog today,,,,,1,,,,,
He was going for a run and saw the hot dog stand,,,,1,,,,,,
Harper is willing to take a longer route for hot dog,1,,,,,,,,,
Parker was running errands and decided to get pizza on the way,,,,,,,,1,,
Adrian is lazy to go further for food,,1,,,,,,,,
Charlie was having delirium and was lost in the neighbourhood,,,,,,,1,,,
Brooklyn wants to walk a long way and explore the neighborhood,,,,,,1,1,,,
Because they didnt have to walk that far for their favourite food because they are lazy,1,1,,,,,,,,
THey wanted a longer walk to get their favourite food because they are sporty and enjoy the longer walk.,1,1,,,,,,,,
Drew prefers hotdogs to pizza,1,,,,,,,,,
because they dont know the area and are sporty they had a longer walk to see what else was available.,,1,1,1,,,,,,
Taylor was too busy to walk to the hotdog shop and so had pizza instead.,,,,,,,,1,,
Drew doesnt like hot dogs so walked the oposit way.,1,,,,,,,,,
The road to the hot dog shop was closed with road works so he had to take a longer route,,,,1,,,,1,,
When Parker got to the hotdog shop he found that it was closed for refurbishment so decided to get pizza instead.,,,,1,,,,1,,
"Charlie knew that there was pizza nearby, and they didn't want to walk far as they're lazy.",,1,,1,,,,,,
"Drew wanted to jog a bit, he could already see the hotdog stand from his starting position so he must've taken the long way around to be active.",,,,1,,,,,,
"Parker's laziness was overruled by his love of hotdogs, he knew where the stand was and he beelined to it.",,,1,,,1,,,,
"Adrian is an idiot? He had food right in front of him and despite being apparently lazy, still didn't go for the nearest food, even though he has no preferences. It's possible he wanted to scope the area out a bit but if he's that proactive, why specify lazy?",1,1,1,1,,,,,,
"It seems Jesse isn't great at taking in their surroundings, seems like because they're sporty they just ran in a direction, rather than taking a mo to look around and see that their favourite was right ahead of them.",1,1,,1,,,,,,
"Taylor fancied a jog, but not a circuit. By the end, they were hungry and the pizza was right there.",,,,,1,,,,,
"Brooklyn was hungry, saw food, went to food. Smart Brooklyn.",,,,1,,,,,,
"Harper likes hotdogs so much that laziness is irrelevant, they went looking for hotdogs, with great success!",1,,,,,,,,,
Adrian took the longer path as he did not know the area well.,,,1,,,,,,,
Parker went to the pizza stall because it was the closest to him and he is lazy.,,1,,1,,,,,,
Drew took the longer route to the pizza stall because he is sporty and enjoys walking,,1,,,,,,,,
Charlie took the route to the hot dog stall because he is lazy and it was in view.,,1,,,,,,,,
Taylor took the long route round to the hot dog stall because although they know the area well they are very sporty,,1,1,,,,,,,
Brooklyn took the route to the pizza stand because they enjoy walking and did not know the area well.,,,1,,,,,,,
Because their favourite food is hot dogs.,1,,,,,,,,,
They walked past the hot dog stall and looked for a better option although their favourite food is hot dogs,1,,,,,,,,,
The person chose the path because he does not know the area well.,,,1,,,,,,,
The person chose this path because he does not know the area very well.,,,1,,,,,,,
He chose thw path because he is conversant with the area.,,,1,,,,,,,
"He knows the way to the hotdog place because, he know the area very well.",,,1,,,,,,,
He did not know the area very well so he had to take a long route.,,,1,,,,,,,
"He took that long route because, he was sporty.",,1,,,,,,,,
"he got to the wrong place because, he did not know the area well.",,,1,,,,,,,
he did not know the area well enough.,,,1,,,,,,,
He decided to take the long route because he is sporty,,1,,,,,,,,
He chose the pizza cart because it is close by and he doesn't have to figure out complex directions,,,,1,,,,,,
Jesse went to the hotdog place because it was nearby,,,,1,,,,,,
He wanted to get a hot dog and run around the area,,,1,,1,,,,,
He knew the pizza was closeby so got the pizza,,,,1,,,,,,
He chose the store that was closest to him,,,,1,,,,,,
He got lost and went to the closest place,,,,1,,,1,,,
He got lost and went to the nearest shop which was the pizza place,,,,1,,,1,,,
Their favourite food is hot dogs and they could see it around the corner,1,,,1,,,,,,
The pizza stand was closer than the hot dog stand,,,,1,,,,,,
They don't much like hot dogs and wanted to get exercise,1,,,,,,,,,
He couldn't see the pizza stand around the corner,,,,1,,,,,,
He saw pizza stand and it was close by,,,,1,,,,,,
He wanted to get exercise and earn the pizza,,,,,,1,,,,
"no explanation, perhaps confused",,,,,,,,,1,
knew the pizza stand was close,,,,1,,,,,,
Adrian is lazy and will buy from the first food truck he sees.,,1,,1,,,,,,
Charlie likes pizza much more than hot dogs despite being lazy he thinks it is worth the walk.,1,1,,,,,,,,
Brooklyn is sporty and wanted to take a longer walk.,,1,,,,,,,,
Jesse decided to take the longer route as they are sporty.,,1,,,,,,,,
Drew likes pizza.,1,,,,,,,,,
Taylor really likes hot dogs.,1,,,,,,,,,
Harper is lazy and went to the first food truck he saw.,,1,,1,,,,,,
Parker knows the area well but decided he would like to take a longer walk today.,1,,1,,,,,,,
"Parker will walk past hot dog shop in this path, which he might consider to buy his favourite food",1,,,,,,,,,
Ask people how to get the hot dog in the fastest path,,,,,,,,,,
"He enjoys exercising, so walking might be in a higher priority than the food",,1,,,,,,,,
Go to the nearest place to get the food as no specific preference and is lazy,1,1,,1,,,,,,
Pizzas are out of stock and he is hungry,,,,,1,,,1,,
He is very hungry so he just wants to have some food immiediately,,,,,1,,,,,
He is energetic and wants to have hot dogs,,,,,1,,,,,
"Did not know the location, so just try to find the hot dogs, could not find at the first time, so continue to find until she finds it",,,1,,,,,,,
They knew where the pizza truck was and felt like having pizza even though it was further away than the hot dog truck.,1,,,,,,,,,
They wanted to get some exercise it to counteract the calories of the pizza they are going to eat.,,,,,,1,,,,
"They saw the hot dog truck, hot dogs are their favourite food so they went for the easy option.",1,,,1,,,,,,
"Brooklyn saw the pizza truck and, because they don't know the area, went to it for convenience.",,,1,1,,,,,,
Taylor wanted to get some exercise in before eating their favourite calorific food.,1,,,,,,,,,
Charlie wanted a hot dog rather than pizza,,,,,1,,,,,
They decided to take a walk around the block to see what foods are available.,,,,1,,,,,,
Adrian didn't fancy pizza so carried on walking to see what else was available.,,,,1,,,,,,
wanted to exercise,,,,,,1,,,,
was shortest route,,,,,,,,,,
wanted exercise,,,,,,1,,,,
shortest route,,,,,,,,,,
shortest route,,,,,,,,,,
shortest route,,,,,,,,,,
didnt realise they went the long way,,,,,,,1,,,
wanted the exercise,,,,,,1,,,,
They didn't think to look up a hot dog place on their phone or ask the other vendor.,,,,,,,1,1,,
Perhaps they went with the flow of traffic,,,,,,,,1,,
He was burning off more calories before a high calorie food.,,,,,,1,,,,
Shortest route for immediate gratification.,,,,,,,,,,
I didn't see whether they preferred HD or P so did they just choose whatever was closest?,1,,,1,,,,,,
CHose the closest meal for immeditate gratification,,,,1,,,,,,
They didn't like hot dogs and were looking for something else,1,,,,,,,,,
They are unaware of the hot dog cart so just ate pizza instead. Went with traffic,,,1,,,,,1,,
Drew could see the truck,,,,1,,,,,,
"taylor could see the hotdog truck, it's his favourite food",1,,,1,,,,,,
adrian doesn't like pizza,1,,,,,,,,,
brooklyn wanted a longer route because they are sporty,,1,,,,,,,,
they changed their mind about pizza,,,,,1,,,,,
they wanted exercise,,,,,,1,,,,
they changed their mind about hotdogs,,,,,1,,,,,
they wanted to see what was nearby,,,,1,,,,,,
They did not know area well so it was luck they took a short route,,,1,,,,,,,
they wanted to excercise,,,,,,1,,,,
they wanted the shortest route,,,,,,1,,,,
he did not know wher he was going,,,1,,,,,,,
it was a quick route,,,,,,,,,,
it seemed the quickest,,,,1,,,,,,
he wanted exercise,,,,,,1,,,,
they got lost,,,,,,,1,,,
They wanted to take a long route as they are sporty,,1,,,,,,,,
He was in the mood for pizza,,,,,1,,,,,
Taylor wanted pizza for a change,,,,,1,,,,,
He did not know the area well and went to the first food place he came across,,,1,,,,,,,
Charlie's favourite food is hot dogs and he wanted a walk,1,,,,,,,,,
Drew's favourite food is hot dogs,1,,,,,,,,,
His favourite food is hot dogs,1,,,,,,,,,
He wanted a hot dog but went the long route as he doesn't know the area,,,1,,1,,,,,
They know the area well so know the way to the hot dog stand,,,1,,,,,,,
He took the long route to the pizza stand even though he is lazy,,1,,,,,,,,
They took the long route even though they are lazy,,1,,,,,,,,
They don't know the area well so went straight to the stand they could see,,,1,1,,,,,,
They know the area well so took the most direct route to the pizza stand,,,1,,,,,,,
They don't know the area well so went straight to the stand they could see,,,1,1,,,,,,
They are sporty so took the longest route to the pizza stand,,1,,,,,,,,
They are sporty so took the longest route to the hot dog stand,,1,,,,,,,,
He wanted a hot dog but didn;t know where the hot dog stand was so accidentally went to the pizza stand first before having to keep going to the hot dog stand,,,1,,1,,,,,
He got confused as to where the stalls were and couldn;t make his mind up as to what to eat,,,,,,,1,,,
He passed the hot gdog stand but decided to walk further and therefore had a pizza,,,,,1,,,,,
He took the long way round to the hot dog stand as he wanted a longer walk,,,,,,1,,,,
He didn't know where the hot dog stand was but when he saw pizza decided he fancied that instead,,,1,1,,,,,,
He took the shortest possible route to the hot dog stand,,,,,,,,,,
He reall likes hot dogs so couuldn't resist stopping when he saw them even though he hadn't walked far,1,,,1,,,,,,
He saw the first possible food stand and decided to go there,,,,1,,,,,,
Harper doesnt know the area so wandered round and came across the pizza stand and felt it was better than nothing,,,1,,,,,,,
Drew knows that the pizza stand is closer than the hotdog stand,,,1,1,,,,,,
Jesse went past the hotdog stand as they don't know the area and came across a pizza stand,,,1,,,,,,,
Adrian doesn't know the area so walked and came across the hotdog stand. If he did know thr area he would have gone to the pizza stand first.,,,1,,,,,,,
Charlie went to the pizza stand even thought they're lazy because its cheaper,,1,,,,,,,,
Taylor knows the area so has gone to the closest spot,,,1,1,,,,,,
Brooklyn missed the pizza spot because they don't know the area and found the hotdog stand,,,1,,,,,,,
Parker knows that the hotdog stand is cheaper despite the pizza stand being closer,,,1,1,,,,,,
They take a longer route hoping to find the hot dog stand as it's their favourite as they may have found it there in the past.,1,,,,,,,,,
"Although they are generally lazy, they were feeling energised that afternoon and went for a longer walk.",,1,,,,,,,,
They didn't desire a hot dog so instead carried on walking around the block and eventually came across the pizza stand and decided to stop.,,,,,1,,,,,
They saw a hot dog stand and were happy to eat there.,,,,1,,,,,,
"Although Jesse's favourite food is hot dogs, they were feeling active this afternoon and decided to go for a slightly longer walk. Early into that walk they decided they were in fact hungry and stopped for pizza instead.",1,,,,,,,,,
Charlie is lazy and didn't fancy going far. They were aware (and could see) that a hot dog stand was in close proximity and that would do.,,1,,1,,,,,,
"Taylor is active and fancied a longer walk. Although their usual favourite is hot dogs, the company they were in fancied pizza and he knew there was a pizza stall a little further away.",1,,,,,,,,,
Drew decided to go for a run around the block today as he is sporty and fancied a jog. On completion of the run he then stopped at the hot dog stall.,,1,,,,,,,,
charlie went for the hot dog because he is lazy and the hot dog stand appeared closer as it was in his line of sight,,1,,1,,,,,,
Taylor's favourite food is hot dogs but they went the long way round because they are sporty and wanted some exercise,1,1,,,,,,,,
Brooklyn decided to explore the area and discovered the pizza stand,,,,1,,,1,,,
Adrian travelled this route to get to know the area better but ultimately decided he wanted to eat hot dogs,,,1,,1,,,,,
Jesse's favourite food is hot dogs,1,,,,,,,,,
Harper doesnt know the area well so chose this route to learn the area better,,,1,,,,,,,
drew is sporty and wanted some exercise,,1,,,,,,,,
Parker is lazy and went for the closest option,,1,,1,,,,,,
They know the quickest way to get to the hot dog stand.,,,1,,,,,,,
They do not know the quickest way to get to the Hot Dog Stand.,,,1,,,,,,,
Drew knows the area but wanted to go the long way around to get more exercise.,,,1,,,,,,,
Charlie knows the quickest way to get to the hot dog stand.,,,1,,,,,,,
Harper does not know where the hot dog stand is.,,,1,,,,,,,
Parker's home is closer to the pizza stand so went there instead of the hot dog stand.,,,,1,,,,,,
Taylor chose the longest route so they could get more exercise.,,,,,,1,,,,
Brooklyn likes pizza.,1,,,,,,,,,
the person does not know the area so chose to follow the route until the got to the pizza shop,,,1,,,,,,,
charlie took the fastest and shortest the route to the pizza shop,,,,,,,,,,
they chose the longest route to get excercise,,,,,,1,,,,
choose the shortest route as they dont know the area well,,,1,,,,,,,
chose the shortest quickest route possible,,,,,,,,,,
took the longer route for excercise,,,,,,,,,,
chose the short route to have a pizza to have a change from the usual hotdogs,,,,1,1,,,,,
was unsure of the festest route,,,1,,,,,,,
Taylor wanted pizza and knows the area well enough to find it,,,1,,1,,,,,
Adrian is lazy and went to the only food he could see,,1,,1,,,,,,
Harper's favourite food is hot dogs,1,,,,,,,,,
Brooklyn is sporty and chose the longer route,,1,,,,,,,,
Jesse is sporty and walked the longer route to their favourite food,1,1,,,,,,,,
Drew knows the area well and went towards the food he wanted,,,1,,,,,,,
Charlie chose the longer route,,,,,,,,,,
Parker went towards the hot dog stand but it was closed so he continued on to the pizza stand,,,,1,,,,1,,
He is lazy so he didn't find the fastest route.,,1,,,,,,,,
He wanted to do a full lap since he is sporty.,,1,,,,,,,,
He was hungry so he ran the shortest distance to get food.,,,,,1,,,,,
He wanted hotdogs and knows the fastest route since he knows the area.,,,1,,1,,,,,
Taylor is sporty so decided to run a longer distance and get pizza rather than hot dogs.,,1,,,,,,,,
Harper did not research the quickest route since she is lazy so she walked the whole way around until she found the food she liked.,1,1,,,,,,,,
He doesn't know the area well so didn't know where to find the hot dogs.,,,1,,,,,,,
He went to the closest stall since he is lazy and knows the other one is further away.,,1,1,1,,,,,,
Jesse's see pizza as the only option for her and he didnt know the area well so wouldn't know if there is another food truck nearby.,,,1,1,,,,,,
Brooklyn decided to explore the area and found a hotdog food truck,,,,1,,,1,,,
Harper's decided to find hotdogs,,,,,1,,,,,
Drew knows where his favourite food is,1,,1,,,,,,,
Parker know where the hot dog is,,,1,,,,,,,
Charlie knows where the pizza truck,,,1,,,,,,,
Taylor's decided to try something new,,,,,1,,,,,
Adrian do not like hot dog,1,,,,,,,,,
They wanted to go for a walk and get food on the way.,,,,,,1,,,,
They wanted pizza and went to get some.,,,,,1,,,,,
They really fancied a hotdog.,,,,,1,,,,,
They fancies pizza and a hot dog together.,,,,,1,,,,,
He works serving pizza but fancied a hot dog.,,,,,1,,,,,
He didn't want to walk far but was really hungry.,,,,,1,,,,,
Walked from his friends house to get a hot dog for tea.,,,,,,,,1,,
He wanted a hot dog and his friends wanted a pizza.,,,,,1,,,,,
Harper goes to the pizza stand because it is closer and she is lazy,,1,,1,,,,,,
Adrian doesn't know the area well so he goes to the nearest hot dog stand,,,1,1,,,,,,
Taylor takes the short route to the hot dog stand because he knows the area,,,1,,,,,,,
Brooklyn takes the long route to the hotdog stand because they are sporty,,1,,,,,,,,
Parker takes the longest route because he likes hot dogs,1,,,,,,,,,
Jesse doesn't know the area well,,,1,,,,,,,
Jesse knows where the pizza stand is so he takes the short route,,,1,,,,,,,
Charlie wants to have pizza,,,,,1,,,,,
As he wanted to excersize a bit before he had a hot dog,,,,,,1,,,,
As it may have been closer to the pizza ttruck then the hot dog stand in his eyes,,,,1,,,,,,
As she doesnt know that she can walk around and take the longer route to get to the hot dog stand therefore she take the shorter and more obvious way,,,1,,,,,,,
He didnt know the way and didnt want pizza so he kept walking to see wether he would find anoher food stand,,,1,1,,,,,,
As it was the quickist way to the hot dog stand and he didnt want pizza,,,,,1,,,,,
H e didnt want hot dogs and therefore kept walking to find something else to eat,,,,,1,,,,,
They were hungry and they were closest one of the food stalls,,,,1,,,,,,
He wanted to take the longer route to excersize,,,,,,1,,,,
Their favourite food is hotdogs and they could see the stand.,1,,,1,,,,,,
They may not have liked pizza enough to go to the visible stand,1,,,,,,,,,
They travelled further because they're sporty and didn't know the area so couldn't have known if there would be another hotdog stand or not.,,1,1,,,,,,,
Their favourite food could be pizza.,1,,,,,,,,,
The pizza stand may have been more on-route to their destination.,,,,,,,,1,,
They may have needed to go the long way round for another purpose i.e work or errands.,,,,,,,,1,,
They may have needed to go the long way round for work/errands etc.,,,,,,,,1,,
They're sporty so took a longer route and passed the first truck.,,1,,,,,,,,
Hot dogs is their favourite foods.,1,,,,,,,,,
they want to get food at the closest point and they can see the pizza stand. This is the closest and they are lazy to go hunt for hot dog stand that is their favourite.,1,1,,1,,,,,,
They wanted to go the long route as they are fit.,,1,,,,,,,,
they don't know the location so they have just been walking.,,,1,,,,,,,
Charlie has chosen the closest food point they can see because they are not active.,,,,1,,,,,,
Drew has chosen to go past the hot dog stand because 1. they enjoy sport and 2. they might prefer it,1,,,,,,,,,
they have seen the hot dog stand but have chosen to travel possibly a bit further as they enjoy running,,,,1,,,,,,
Adrian has chosen this route as he doesn't know the location and had to trabel to get there.,,,1,,,,,,,
He wanted to go the long way round because he is sporty.,,1,,,,,,,,
He wanted a hotdog and wanted the quickest route to get there,,,,1,1,,,,,
He wanted to try something different today,,,,,1,,,,,
He wanted to go the long way round because he is sporty,,1,,,,,,,,
"He wanted a hotdog, but didn't know the quickest way to get there",,,1,,1,,,,,
"He wanted something different today, but didn't know where the other foodtruck was",,,1,,1,,,,,
She was hungry and just wanted a quick bite to eat from the nearest stand,,,,1,1,,,,,
He saw the hotdog stand and loves hotdogs so went for it,,,,1,,,,,,
"Charlie did not know that the hotdog stand was around the corner, or what other food options were available, so took the long route to explore all their options before decided on pizza",,,1,,1,,1,,,
Adrian did not want pizza and took his path to explore the area before coming across the hotdog stand,,,,,1,,1,,,
Brooklyn walked the long route because he is sporty,,1,,,,,,,,
Drew wanted pizza rather than hot dog,,,,,1,,,,,
Jesse wanted to walk further because they are sporty,,1,,,,,,,,
Taylor wanted hot dogs and knew there was not a hot dog stand elsewhere,,,,,1,,,,,
Harper wanted to explore the area and decided to have pizza when they came across the pizza cart,,,,,1,,1,,,
Parker wants to get fit and took the long route to the hot dog stand,,,,,,1,,,,
wanted to check out the pizza stand but then decided on hot dogs,,,,,1,,,,,
their favourite food is hotdogs,1,,,,,,,,,
wanted hotdogs over pizza,,,,,1,,,,,
checked out the hotdog stand but wanted pizza instead,,,,,1,,,,,
pizza stand was the first stand he came upon so chose it because he is too lazy to continue looking,,1,,,,,,,,
walked around the whole block because he is sporty,,1,,,,,,,,
Preferred pizza on this day,1,,,,,,,,,
didnt know the area too well,,,1,,,,,,,
Harper is lazy so they went to the closest food track they could see,,1,,1,,,,,,
As Brooklyn is sporty they wanted to check all the available food spots before stopping and eating there,,1,,,1,,,,,
Parker knows the area so he did go to his preferred food spot,1,,1,,,,,,,
Taylor knows the area and went to their favourite spot,1,,1,,,,,,,
Charlie wanted to go for a walk,,,,,,1,,,,
Jesse walked past the hot dog stand but wanted pizza today,,,,,1,,,,,
Drew went to get some pizza today,,,,,1,,,,,
Adrian went to the first stand they saw,,,,1,,,,,,
Since Jesse is sporty he just cut the corner and saw the hot dog shop so he ran towards it. just a straight path to go to the hot dog shop quickly,,1,,1,,,,,,
"Since Taylor knows the area well, and he is sporty, he just took the long path, exploring and maybe chit chatted with his neighbouring friends and then went to hot dog shop",,1,1,,,,,,,
harper loves hot dog and doesn't know the area well. he took the long path because he is lazy and probably didn't ask the neighbours the ebst route for the hot dog shop,,1,1,,,,,,,
adrian was standing a few meter before the hot dog shop. the only way he took the longest route is because he is either near sighted and just followed the signs to the hot dog shop on the way because he is new and got lost. and instead of asking people he followed the signs,,,,1,,,,,,
so brooklyn is sporty but doesn't know the area well. so he ight have asked the neighborhood kids where the shop is located and went that way,,1,1,,,,,,,
"since drew knows the area well and sporty, he just went using the long route because he just loves to explore and go",,1,1,,,,,,,
charlie is lazy and knows the area well. so he took the shortest route to go quickly and eat,,1,1,,,,,,,
"parker's favourite food is hot dog and knows the area well but since they are lazy and nearby to pizza shop, they decided to go to pizza shop instead",1,1,1,1,,,,,,
Parker likes hot dogs and it wasn't too difficult to turn the corner and see the hot dog stand,1,,,1,,,,,,
Drew is sporty,,1,,,,,,,,
Taylor is sporty,,1,,,,,,,,
Charlie is lazy,,1,,,,,,,,
